Race;Cause;Deployed;Retreated;FullLaps;GP Year;GP
1973 Canadian Grand Prix;Accident;33;39;5;1973; Canadian Grand Prix
1993 Brazilian Grand Prix;Accident/Rain;29;38;8;1993; Brazilian Grand Prix
1993 British Grand Prix;Stranded car;38;40;1;1993; British Grand Prix
1994 San Marino Grand Prix;Accident;1;6;4;1994; San Marino Grand Prix
1995 Belgian Grand Prix;Rain;28;33;4;1995; Belgian Grand Prix
1996 Argentine Grand Prix;Accident;28;33;4;1996; Argentine Grand Prix
1996 Belgian Grand Prix;Accident;13;18;4;1996; Belgian Grand Prix
1997 Argentine Grand Prix;Accident;1;5;4;1997; Argentine Grand Prix
1997 Belgian Grand Prix;Rain;1;4;3;1997; Belgian Grand Prix
1998 Canadian Grand Prix;Accident;1;6;4;1998; Canadian Grand Prix
1998 Canadian Grand Prix;Debris;15;18;2;1998; Canadian Grand Prix
1998 Canadian Grand Prix;Accident;20;23;2;1998; Canadian Grand Prix
1998 British Grand Prix;Rain;42;49;6;1998; British Grand Prix
1998 Austrian Grand Prix;Two accidents;1;4;2;1998; Austrian Grand Prix
1998 Belgian Grand Prix;Accident;28;33;4;1998; Belgian Grand Prix
1999 Australian Grand Prix;Accident;15;18;2;1999; Australian Grand Prix
1999 Australian Grand Prix;Accident;22;26;4;1999; Australian Grand Prix
1999 Canadian Grand Prix;Accident;1;3;1;1999; Canadian Grand Prix
1999 Canadian Grand Prix;Accident;3;8;4;1999; Canadian Grand Prix
1999 Canadian Grand Prix;Accident;35;41;5;1999; Canadian Grand Prix
1999 Canadian Grand Prix;Accident;66;;3;1999; Canadian Grand Prix
1999 French Grand Prix;Stranded car/Rain;25;36;10;1999; French Grand Prix
1999 European Grand Prix;Accident;1;7;6;1999; European Grand Prix
2000 Australian Grand Prix;Accident;7;11;3;2000; Australian Grand Prix
2000 Austrian Grand Prix;Accident;1;3;1;2000; Austrian Grand Prix
2000 German Grand Prix;Man on track;25;29;3;2000; German Grand Prix
2000 German Grand Prix;Accident;30;32;1;2000; German Grand Prix
2000 Belgian Grand Prix;Rain;1;2;1;2000; Belgian Grand Prix
2000 Italian Grand Prix;Multiple accidents;1;12;11;2000; Italian Grand Prix
2000 Malaysian Grand Prix;Accident;1;3;1;2000; Malaysian Grand Prix
2001 Australian Grand Prix;Accident;6;16;10;2001; Australian Grand Prix
2001 Malaysian Grand Prix;Rain;4;11;6;2001; Malaysian Grand Prix
2001 Brazilian Grand Prix;Stranded car;1;3;1;2001; Brazilian Grand Prix
2001 Austrian Grand Prix;Four stranded cars;1;4;2;2001; Austrian Grand Prix
2001 Canadian Grand Prix;Accident;21;24;2;2001; Canadian Grand Prix
2001 Belgian Grand Prix;Accident;6;7;1;2001; Belgian Grand Prix
2002 Australian Grand Prix;Accident;1;6;4;2002; Australian Grand Prix
2002 Australian Grand Prix;Accident;9;12;2;2002; Australian Grand Prix
2002 Austrian Grand Prix;Stranded car;24;28;3;2002; Austrian Grand Prix
2002 Austrian Grand Prix;Accident;28;37;8;2002; Austrian Grand Prix
2002 Canadian Grand Prix;Stranded car;14;18;3;2002; Canadian Grand Prix
2003 Australian Grand Prix;Two accidents;8;11;2;2003; Australian Grand Prix
2003 Australian Grand Prix;Stranded car;16;20;3;2003; Australian Grand Prix
2003 Brazilian Grand Prix;Rain;1;9;8;2003; Brazilian Grand Prix
2003 Brazilian Grand Prix;Accident;18;23;5;2003; Brazilian Grand Prix
2003 Brazilian Grand Prix;Three accidents;27;30;2;2003; Brazilian Grand Prix
2003 Brazilian Grand Prix;Accident;33;37;3;2003; Brazilian Grand Prix
2003 Brazilian Grand Prix;Two accidents;54;;2;2003; Brazilian Grand Prix
2003 Spanish Grand Prix;Multiple accidents;0;6;5;2003; Spanish Grand Prix
2003 Austrian Grand Prix;Stranded car;1;5;3;2003; Austrian Grand Prix
2003 Monaco Grand Prix;Stranded car;1;5;3;2003; Monaco Grand Prix
2003 German Grand Prix;Multiple accidents;1;4;4;2003; German Grand Prix
2003 British Grand Prix;Debris from car;5;8;2;2003; British Grand Prix
2003 British Grand Prix;Man on track;12;16;3;2003; British Grand Prix
2004 Monaco Grand Prix;Accident;3;8;4;2004; Monaco Grand Prix
2004 Monaco Grand Prix;Accident;42;47;4;2004; Monaco Grand Prix
2004 British Grand Prix;Accident;40;46;5;2004; British Grand Prix
2004 United States Grand Prix;Accident;1;6;4;2004; United States Grand Prix
2004 United States Grand Prix;Accident;11;20;8;2004; United States Grand Prix
2004 Belgian Grand Prix;Accident;1;5;3;2004; Belgian Grand Prix
2004 Belgian Grand Prix;Accident;31;35;2;2004; Belgian Grand Prix
2004 Belgian Grand Prix;Debris from accident;39;42;3;2004; Belgian Grand Prix
2005 Monaco Grand Prix;Stranded car;25;29;3;2005; Monaco Grand Prix
2005 Canadian Grand Prix;Accident;46;52;5;2005; Canadian Grand Prix
2005 British Grand Prix;Accident;1;3;1;2005; British Grand Prix
2005 Belgian Grand Prix;Accident;11;14;2;2005; Belgian Grand Prix
